标题,级别,总分,类型,信源,谣言
BitMine增持7300万美元ETH,A,0.766,market,"[""TheDefiant""]",0
日本议员提议设立国家比特币储备,A,0.736,policy,"[""PANews""]",0
比特币ETF成交降至近年低位，以太坊资金流入领先,A,0.729,market,"[""TheBlock""]",0
CLARITY草案拟授权白帽赏金,A,0.725,policy,"[""ChainCatcher""]",0
富达呼吁参议院通过CLARITY法案,A,0.714,policy,"[""Cointelegraph""]",0
以太坊ETF结束5日净流入,A,0.71,market,"[""Cointelegraph""]",0
欧盟制裁HTX涉俄规避行为,S,0.71,policy,"[""Decrypt""]",0
特朗普14亿美元加密收益阻碍Clarity法案,A,0.707,policy,"[""Followin快讯""]",0
欧盟第21轮制裁瞄准1200亿美元加密网络,S,0.705,policy,"[""CoinDesk""]",0
美国比特币以太坊现货ETF净流出3.11亿美元,A,0.701,market,"[""吴说区块链""]",0
AFX黑客将655枚ETH换成BTC,B,0.696,security,"[""ChainCatcher"", ""X/EmberCN"", ""吴说区块链""]",0
美国现货BTC、ETH ETF录得净流出,A,0.691,market,"[""X/WuBlockchain""]",0
BitMEX将于9月23日关闭交易所,S,0.676,market,"[""TheDefiant""]",0
NEAR通过取消开发者Gas返佣,B,0.674,project,"[""TheDefiant""]",0
欧盟禁14家境外加密平台交易,A,0.669,policy,"[""吴说区块链""]",0
Worldcoin基金会折价售出2.174亿枚WLD,B,0.667,project,"[""X/EmberCN"", ""吴说区块链""]",0
BitMEX将于9月23日关闭,S,0.665,market,"[""Decrypt""]",0
BitMEX将于2026年9月23日关停,S,0.664,market,"[""BlockBeats文章""]",0
欧盟因涉俄服务制裁HTX,A,0.662,policy,"[""Cointelegraph""]",0
美国Clarity法案或难在8月休会前通过,A,0.652,policy,"[""Decrypt""]",0
比特币ETF净流出2.25亿美元,A,0.65,market,"[""Decrypt""]",0
Robinhood链24小时费用收入排第四,B,0.65,market,"[""BlockBeats快讯""]",0
Odos将于2026年7月30日停服,B,0.65,project,"[""Followin快讯""]",0
Galaxy将《清晰法案》通过率降至30%,A,0.65,policy,"[""TheBlock""]",0
美国区块链协会敦促参议院推进CLARITY法案,A,0.648,policy,"[""吴说区块链""]",0
9家机构成立比特币安全联盟,B,0.646,project,"[""PANews""]",0
2026上半年加密黑客损失13.2亿美元,B,0.646,security,"[""ChainCatcher""]",0
俄罗斯储蓄银行拟12月前建成加密交易基础设施,B,0.645,policy,"[""CoinDesk""]",0
巨鲸预告比特币6.4万美元接多,B,0.644,market,"[""BlockBeats快讯""]",0
加密团体敦促美国通过CLARITY法案,A,0.644,policy,"[""Cointelegraph""]",0
美国比特币现货ETF净流出2.25亿美元,A,0.641,market,"[""Cointelegraph""]",0
参议院清晰法案拟增白帽奖励条款,B,0.64,policy,"[""TechFlow深潮"", ""吴说区块链""]",0
Jupiter质押超10亿枚JUP,B,0.64,project,"[""X/MessariCrypto""]",0
World基金会完成5250万美元WLD募资,B,0.636,project,"[""Cointelegraph"", ""Decrypt"", ""TheBlock""]",0
巨鲸平掉3867万美元40倍BTC多单,B,0.635,market,"[""BlockBeats快讯""]",0
CLARITY草案拟奖励白帽披露漏洞,B,0.634,policy,"[""BlockBeats快讯""]",0
CLARITY新增自托管代币保护条款,B,0.626,policy,"[""Followin快讯""]",0
Robinhood链RWA规模因代币化股票增至5倍,B,0.626,market,"[""CoinDesk""]",0
SUN第51期回购销毁累计超6.78亿枚,B,0.625,project,"[""Followin快讯""]",0
币安将DOGS列为第57期Launchpool项目,B,0.623,project,"[""BinanceSquare""]",0
7月24日现货ETF：比特币流出以太坊流入,A,0.621,market,"[""X/lookonchain""]",0
欧盟扩大对白俄加密所有权禁令,A,0.621,policy,"[""Cointelegraph""]",0
TRUMP团队解锁转出1083.7万枚,B,0.621,market,"[""吴说区块链""]",0
BitMEX停运并遭集体诉讼,A,0.62,policy,"[""CoinDesk""]",0
巨鲸将55.79万枚HYPE质押至Hyperliquid,B,0.617,market,"[""X/lookonchain""]",0
2026上半年加密被盗13.2亿美元,B,0.617,security,"[""吴说区块链""]",0
