KOL,推文,点赞,转发
cz_binance,"For long term holding, when is the best entry point? during the bull or bear market?",8260,766
cz_binance,New definition of pre-rich. 😂 https://t.co/2mEqqV89Ry,6061,429
cz_binance,Bro has no idea how much time he will waste here. 😂\n\nBut keeping in touch X community is worth it. h,4311,232
cz_binance,Need a lot more of these cleanings. https://t.co/mTYkdt9HSd,1924,106
binance,can’t believe it’s the w̵̨̛̥̪̫̼̯̜̦͕̯̥̦̝̤̠̯͎̜̟͍̜̭̱̅́̄̐̾͆̎͊̑̓̃͂͆̚͘͜͜͜͜ͅe̵̛̪͆͗̅̿͂̓̍̇̈̿̎͒̎̂͑̔̋̽͛͘̕͠͝e̷̢̘,1644,150
cz_binance,"《经济日报》 摘:\n法官:""我看了你每一封支持信,因为我想真正了解你这个人。我很少,或者说从未见到,这么多正面的信件……也说你帮助他人,做了很多包括币安慈善在内的慈善行为,帮助了全球数百万人……你勇于",1066,116
heyibinance,Before starting a business vs. After starting a business.\n创业前VS创业后，第二天笑嘻嘻的我还不知道事情的严重性。 https://t.co/,899,57
heyibinance,谁是第一个发：“何必东奔西走，币安啥都有”这句话的社区成员，请找我领一个BNB。💁‍♀️💁‍♀️💁‍♀️ https://t.co/1OLLPLQwpD,657,66
heyibinance,"Emerging markets, early twenties, less than $2,000 in their account: this is the group where, for th",594,61
binance,Worth the climb. https://t.co/fO8CQk4zDw,508,49
lookonchain,"The #Trump team transferred out another 10.84M $TRUMP($16.91M) 1 hour ago, likely to be deposited in",381,38
binance,"22.25% APR (variable) in the last 7 days.\n\nHold RLUSD, trade, and earn weekly XRP rewards, it's live",312,47
binance,Binance Earn is bringing back the USD1 Simple Earn Flexible Products campaign!\n\nSubscribe now and ea,288,37
lookonchain,"Another whale received 557,902 $HYPE ($32.87M) from #FalconX and deposited it into Hyperliquid for s",252,37
lookonchain,The World Foundation(@worldcoinfnd) raised $52.5M by selling $WLD.\n\nOn-chain data shows it transferr,237,21
binance,One Vietnam trip. Plenty of stops. One easy way to pay 🇻🇳\n\nScan local QR codes with Binance Pay and ,223,41
heyibinance,💁‍♀️💁‍♀️💁‍♀️ https://t.co/Um57uabBzo,196,17
lookonchain,A mysterious whale (0xf292) keeps adding to a $CXMT short.\n\nThe whale now holds a 1.44M $CXMT($9.18M,153,13
lookonchain,"July 24 Update:\n\n#Bitcoin ETFs:\n1D NetFlow: -3,507 $BTC(-$225.56M)🔴\n7D NetFlow: +6,063 $BTC(+$389.93",130,15
peckshield,"Hi @mapprotocol, you may want to take a look:  huge amount 1,000,000,000,000,000 of $MAP0  were mint",125,16
heyibinance,这是很早之前一个用户评论，看到的朋友发送你的评论链接给我，以最早的为准，谢谢💛,109,1
peckshield,"After liquidating the KelpDAO exploiter's aave position, previously-affected ethereum:0xc02aaa39b223",94,11
peckshield,Hi @veruscoin It seems abnormal assets outflow (~$11.4m) from Verus-Ethereum Bridge: https://t.co/2O,91,9
SECGov,The SEC will host a roundtable on September 17 to discuss moving towards 24-hour trading in the U.S.,80,23
peckshield,It seems the admin key of @wasabi_protocol has been compromised with the estimated loss of $5.5m acr,69,13
binancezh,"你的 LP 现在收益为 $0 —— 6 小时前价格已经偏离做市区间，而那时你还在睡觉。\n\n如何避免？\n1️⃣ 安装币安 Agentic Wallet 并登录\n2️⃣ 设定你的策略 —— 例如：""帮我监",64,8
binancezh,45% 的币安 TradFi 用户是 Z 世代。\n\n🚀新一代投资者，正在加速进入市场。\n\n阅读完整报告，抓住每一个 TradFi 新机会👇 https://t.co/CZt83Zh0Nj https:,64,12
MessariCrypto,Around $1.5b in BTC-USD spot DEX volume was traded last week on EVM chains. \n\nOver 50% of this volum,63,14
glassnode,"$BTC options are turning less defensive as put/call ratios and short-dated skew fall, while volatili",56,8
MessariCrypto,Consumer and finance apps now account for the majority of onchain revenue.\n\nAround 25% of onchain re,54,11
