title_zh,event_tier,score,sectors,coins
POL将于7月29日进行Ithaca硬分叉,B,0.43,"[""Layer1/Layer2""]","[""POL""]"
SUN将于7月25日进行第51次回购销毁,B,0.43,"[""DeFi""]","[""SUN""]"
PYTH将于7月27日上线Memory Market,C,0.414,"[""Infrastructure""]","[""PYTH""]"
Stacks将于7月29日进行PoX-5硬分叉,B,0.382,"[""Infrastructure"""," ""Layer1/Layer2""]","[""STX""]"
Stacks将于7月29日启动首批PoX-5周期,C,0.378,"[""Layer1/Layer2"""," ""Infrastructure""]","[""STX""]"
MNT将于7月25日至26日开启周末股权交易,C,0.37,"[""RWA""]","[""MNT""]"
Injective将于7月25日举行最终路演日,C,0.335,"[""Infrastructure"""," ""Layer1/Layer2""]","[""INJ""]"
Zcash Ironwood升级最迟7月28日激活,C,0.329,"[""Infrastructure""]","[""ZEC""]"
JUP ASR第二季度活动7月9日启动,C,0.321,"[""Solana""]","[""JUP"""," ""SOL""]"
Morpho开启ZAMA收益提升活动,C,0.321,"[""DeFi""]","[""MORPHO""]"
BCH支付卡将于8月1日至2日推出,C,0.317,"[""Payments""]","[""BCH""]"
AAVE的WETH激励将于7月28日结束,C,0.306,"[""DeFi""]","[""AAVE"""," ""WETH""]"
AERO计划于7月31日前上线以太坊主网,C,0.293,"[""Infrastructure""]","[""AERO"""," ""ETH""]"
Morpho与HSK合作将于7月28日推进,C,0.291,"[""DeFi""]","[""MORPHO"""," ""HSK""]"
ether.fi将于7月30日举行分析师电话会,D,0.261,"[""DeFi""]","[""ETHFI""]"
FET将于7月27日参加AGI-26研讨会,D,0.256,"[""AI""]","[""FET""]"
HBAR将于2026年7月弃用查询接口,D,0.243,"[""Infrastructure""]","[""HBAR""]"
